"Time (s)","Illuminance (lx)"
0.000000000E0,5.000001953E4
4.974554100E-2,5.000001953E4
1.164058530E-1,5.000001953E4
1.830708530E-1,5.000001953E4
2.497339260E-1,5.000001953E4
3.164331450E-1,5.000001953E4
3.830675200E-1,5.000001953E4
4.497305410E-1,5.000001953E4
5.164006450E-1,5.000001953E4
5.830765820E-1,5.000001953E4
6.497339260E-1,5.000001953E4
7.153594340E-1,5.575297852E3
7.819872470E-1,5.818365234E3
8.486384440E-1,6.198052734E3
9.153142260E-1,6.450772949E3
9.819930280E-1,6.462450195E3
1.048643809E0,6.462450195E3
1.115343497E0,6.645847656E3
1.181974434E0,6.462450195E3
1.248633392E0,6.384622559E3
1.315307819E0,4.988722656E3
1.381997038E0,3.977842773E3
1.448640944E0,3.596400146E3
1.515299955E0,3.596400146E3
1.581963861E0,3.596400146E3
1.648628601E0,3.802545166E3
1.715322559E0,4.122360352E3
1.781985684E0,4.621522461E3
1.848627455E0,6.304297852E3
1.915297559E0,6.657322754E3
1.981968080E0,6.657322754E3
2.048623392E0,6.657322754E3
2.115321830E0,6.644565430E3
2.181960788E0,5.898690430E3
2.248623080E0,4.628542480E3
2.315291934E0,3.718980225E3
2.381973601E0,3.655665039E3
2.448627559E0,3.655665039E3
2.515289851E0,3.655665039E3
2.581957872E0,3.749017578E3
2.648619694E0,3.887392578E3
2.715320788E0,3.978652588E3
2.781984434E0,4.157122559E3
2.848616413E0,4.157122559E3
2.915283601E0,4.157122559E3
2.981947611E0,3.678682617E3
3.048623601E0,3.224542725E3
3.115306986E0,3.012795166E3
3.181944538E0,3.012795166E3
3.248610892E0,2.864160156E3
3.315285892E0,2.864160156E3
3.381961309E0,2.864160156E3
3.448607767E0,2.015145020E3
3.515276726E0,1.646460083E3
3.581939642E0,1.430730103E3
3.648605580E0,1.304235107E3
3.715302455E0,1.304235107E3
3.781966934E0,1.304235107E3
3.848618184E0,1.333665039E3
3.915270892E0,1.403190063E3
3.981946517E0,1.476967529E3
4.048602194E0,1.878862549E3
4.115291101E0,1.878862549E3
4.181967247E0,1.878862549E3
4.248602872E0,1.734547607E3
4.315266986E0,1.673797607E3
4.381932559E0,1.662052612E3
4.448602351E0,1.635592529E3
4.515287038E0,1.635592529E3
4.581932767E0,1.622835083E3
4.648595163E0,1.622632568E3
4.715287611E0,1.552905029E3
4.781949955E0,1.510447510E3
4.848610788E0,1.481895020E3
4.915263028E0,1.443082520E3
4.981925059E0,1.404675049E3
5.048591778E0,1.359045044E3
5.115289851E0,1.289790039E3
5.181942976E0,1.275480103E3
5.248590788E0,1.261440063E3
5.315263288E0,1.258200073E3
