"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.935905120E-1,5.235641340E1,4.849344600E0,2.193214117E0,0.000000000E0,0.000000000E0,5.284600067E1,1.839349151E0
2.955228540E0,5.235600834E1,4.848285740E0,-1.033839851E1,2.880000114E0,2.156999969E2,2.086402702E1,1.956295013E1
3.956133175E0,5.235594995E1,4.848075880E0,1.612764865E-1,3.539999962E0,2.255000000E2,1.368025494E1,1.215892410E1
4.955721248E0,5.235595838E1,4.847912190E0,5.159607014E0,4.130000114E0,2.370000000E2,1.252190590E1,1.133183289E1
5.955444998E0,5.235589094E1,4.847892690E0,8.264115411E0,4.670000076E0,2.116000061E2,1.148570538E1,1.084782791E1
6.955924112E0,5.235589593E1,4.847795140E0,5.222562258E0,3.650000095E0,2.198000031E2,9.514546394E0,8.794034004E0
7.956095361E0,5.235583999E1,4.847819890E0,6.814783204E0,4.000000000E0,2.053999939E2,8.283819199E0,8.289203644E0
8.956869528E0,5.235582214E1,4.847776040E0,6.643651335E0,4.110000134E0,2.133999939E2,6.994849682E0,8.161326408E0
9.958392496E0,5.235578425E1,4.847700290E0,5.536437802E0,4.449999809E0,2.101999969E2,6.346330643E0,8.110045433E0
1.095511354E1,5.235573987E1,4.847685170E0,9.748219850E0,4.159999847E0,2.028000031E2,6.035213470E0,7.563092232E0
1.195540062E1,5.235569748E1,4.847677550E0,8.654283916E0,4.590000153E0,1.935000000E2,5.461195946E0,6.633092880E0
1.295616010E1,5.235565524E1,4.847671970E0,1.045494165E1,4.469999790E0,1.923000031E2,4.835807800E0,5.867650986E0
1.395541406E1,5.235561460E1,4.847677630E0,8.276115930E0,4.260000229E0,1.836999969E2,4.218173027E0,5.178380966E0
1.495661926E1,5.235557232E1,4.847689550E0,9.258546396E0,4.260000229E0,1.786999969E2,4.073315144E0,4.968195438E0
1.595523088E1,5.235553031E1,4.847702870E0,5.955943869E0,4.389999866E0,1.768000031E2,3.996486664E0,4.843542576E0
1.695575010E1,5.235548950E1,4.847710420E0,6.185749367E0,4.199999809E0,1.785000000E2,4.252737999E0,4.845974445E0
1.795740182E1,5.235544831E1,4.847717180E0,6.548671551E0,4.369999886E0,1.778000031E2,4.097020626E0,4.752972603E0
1.895622072E1,5.235540492E1,4.847724650E0,6.911957270E0,4.679999828E0,1.791999969E2,4.036616325E0,4.559772968E0
1.995621062E1,5.235535980E1,4.847733600E0,6.401034871E0,4.769999981E0,1.778000031E2,4.161726475E0,4.440246582E0
2.095487572E1,5.235529745E1,4.847757520E0,6.049581793E0,5.000000000E0,1.833999939E2,4.006658554E0,4.280737877E0
2.195637208E1,5.235525191E1,4.847764310E0,6.081504239E0,5.559999943E0,1.713000031E2,4.022365570E0,4.112258911E0
