"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.142041850E-1,9.564800262E0,-3.786880112E1,-2.466839981E1
1.242041850E-1,1.023579979E1,-3.958900070E1,-2.203319931E1
1.342041850E-1,1.047980022E1,-4.006480026E1,-2.113039970E1
1.442041850E-1,1.074819946E1,-4.027219772E1,-2.059359932E1
1.542041850E-1,1.096780014E1,-4.040639877E1,-2.027639961E1
1.642041850E-1,1.117519951E1,-4.051620102E1,-2.009339905E1
1.742041850E-1,1.140699959E1,-4.060160065E1,-1.994700050E1
1.842041850E-1,1.155340004E1,-4.066259766E1,-1.976399994E1
1.942041850E-1,1.200479984E1,-4.108959961E1,-1.893440056E1
2.042041850E-1,1.233419991E1,-4.110179901E1,-1.872699928E1
2.142041850E-1,1.262699986E1,-4.112619781E1,-1.849519920E1
2.242041850E-1,1.296859932E1,-4.117499924E1,-1.827560043E1
2.342041850E-1,1.328579998E1,-4.123600006E1,-1.792179871E1
2.442041850E-1,1.365180016E1,-4.129700089E1,-1.753139877E1
2.542041850E-1,1.398119926E1,-4.133359909E1,-1.715320015E1
2.642041850E-1,1.428619957E1,-4.135799789E1,-1.671399879E1
2.742041850E-1,1.451799965E1,-4.140679932E1,-1.639679909E1
2.842041850E-1,1.479859924E1,-4.144339752E1,-1.599419975E1
2.942041850E-1,1.505480003E1,-4.147999954E1,-1.565259933E1
3.042041850E-1,1.526219940E1,-4.156539917E1,-1.527439976E1
3.142041850E-1,1.542079926E1,-4.162639999E1,-1.501819992E1
3.242041850E-1,1.553059959E1,-4.171179962E1,-1.476200008E1
3.342041850E-1,1.566479969E1,-4.187039948E1,-1.446920013E1
3.442041850E-1,1.581120014E1,-4.198019791E1,-1.422519970E1
3.542041850E-1,1.590880013E1,-4.202899933E1,-1.385919952E1
3.642041850E-1,1.601860046E1,-4.215100098E1,-1.356639957E1
3.742041850E-1,1.609179878E1,-4.226079941E1,-1.329799938E1
3.842041850E-1,1.609179878E1,-4.237059784E1,-1.307839966E1
3.942041850E-1,1.604299927E1,-4.245599747E1,-1.289540005E1
4.042041850E-1,1.599419975E1,-4.255360031E1,-1.267579937E1
4.142041850E-1,1.590880013E1,-4.263899994E1,-1.249279976E1
4.242041850E-1,1.585999966E1,-4.276099777E1,-1.233419991E1
4.342041850E-1,1.573799992E1,-4.287080002E1,-1.224879932E1
4.442041850E-1,1.565259933E1,-4.294400024E1,-1.215119934E1
4.542041850E-1,1.565259933E1,-4.299279785E1,-1.200479984E1
4.642041850E-1,1.572579956E1,-4.301720047E1,-1.180959988E1
4.742041850E-1,1.588439941E1,-4.304159927E1,-1.162659931E1
4.842041850E-1,1.598199940E1,-4.300500107E1,-1.148019981E1
4.942041850E-1,1.614060020E1,-4.289519882E1,-1.127279949E1
5.042041850E-1,1.627479935E1,-4.289519882E1,-1.105319977E1
5.142041850E-1,1.651879883E1,-4.283419800E1,-1.078479958E1
5.242041850E-1,1.670179939E1,-4.278540039E1,-1.057740021E1
5.342041850E-1,1.698239899E1,-4.276099777E1,-1.038220024E1
5.442041850E-1,1.701899910E1,-4.277320099E1,-1.027239990E1
5.542041850E-1,1.701899910E1,-4.280979919E1,-1.015040016E1
5.642041850E-1,1.692140007E1,-4.284639740E1,-1.015040016E1
5.742041850E-1,1.679940033E1,-4.291959763E1,-1.015040016E1
5.842041850E-1,1.677499962E1,-4.289519882E1,-1.024800014E1
5.942041850E-1,1.671399879E1,-4.298059845E1,-1.030900002E1
6.042041850E-1,1.662859917E1,-4.298059845E1,-1.034560013E1
6.142041850E-1,1.644560051E1,-4.301720047E1,-1.036999989E1
6.242041850E-1,1.648220062E1,-4.301720047E1,-1.045539951E1
6.342041850E-1,1.653100014E1,-4.305379868E1,-1.032119942E1
6.442041850E-1,1.657979965E1,-4.306599808E1,-1.021140003E1
6.542041850E-1,1.656760025E1,-4.310260010E1,-1.016259956E1
6.642041850E-1,1.645779991E1,-4.312699890E1,-1.015040016E1
6.742041850E-1,1.634799957E1,-4.316360092E1,-1.019919968E1
6.842041850E-1,1.618939972E1,-4.326119995E1,-1.035779953E1
6.942041850E-1,1.598199940E1,-4.329779816E1,-1.057740021E1
7.042041850E-1,1.567700005E1,-4.333440018E1,-1.067500019E1
7.142041850E-1,1.532319927E1,-4.334659958E1,-1.099219990E1
7.242041850E-1,1.509140015E1,-4.337099838E1,-1.118739986E1
7.342041850E-1,1.481079960E1,-4.317580032E1,-1.174860001E1
7.442041850E-1,1.455459976E1,-4.321239853E1,-1.193159962E1
7.542041850E-1,1.429839993E1,-4.321239853E1,-1.212679958E1
7.642041850E-1,1.406659985E1,-4.320019913E1,-1.229759979E1
7.742041850E-1,1.376159954E1,-4.327339935E1,-1.246840000E1
7.842041850E-1,1.348099995E1,-4.332220078E1,-1.268799973E1
7.942041850E-1,1.324919987E1,-4.334659958E1,-1.291979980E1
8.042041850E-1,1.298079967E1,-4.337099838E1,-1.321259975E1
8.142041850E-1,1.278559971E1,-4.356620026E1,-1.313939953E1
8.242041850E-1,1.261479950E1,-4.352959824E1,-1.349319935E1
8.342041850E-1,1.244399929E1,-4.354179764E1,-1.381040001E1
8.442041850E-1,1.227320004E1,-4.348080063E1,-1.413980007E1
8.542041850E-1,1.219999981E1,-4.338319778E1,-1.442039967E1
8.642041850E-1,1.224879932E1,-4.324900055E1,-1.477419949E1
8.742041850E-1,1.233419991E1,-4.311479950E1,-1.511579990E1
8.842041850E-1,1.240740013E1,-4.299279785E1,-1.538420010E1
8.942041850E-1,1.251719952E1,-4.280979919E1,-1.571360016E1
9.042041850E-1,1.259039974E1,-4.270000076E1,-1.598199940E1
9.142041850E-1,1.274899960E1,-4.250479889E1,-1.629920006E1
9.242041850E-1,1.293200016E1,-4.232180023E1,-1.661639977E1
9.342041850E-1,1.301739979E1,-4.215100098E1,-1.701899910E1
9.442041850E-1,1.323699951E1,-4.200460052E1,-1.732399940E1
9.542041850E-1,1.326139927E1,-4.183379745E1,-1.767779922E1
9.642041850E-1,1.335900021E1,-4.171179962E1,-1.804380035E1
9.742041850E-1,1.342000008E1,-4.163859940E1,-1.831220055E1
9.842041850E-1,1.348099995E1,-4.155319977E1,-1.866600037E1
9.942041850E-1,1.346879959E1,-4.149219894E1,-1.895879936E1
1.004204185E0,1.346879959E1,-4.140679932E1,-1.922719955E1
1.014204185E0,1.352979946E1,-4.134579849E1,-1.941020012E1
1.024204185E0,1.344439983E1,-4.127259827E1,-1.962979889E1
1.034204185E0,1.346879959E1,-4.121159744E1,-1.978839874E1
1.044204185E0,1.344439983E1,-4.106520081E1,-2.004459953E1
1.054204185E0,1.340779972E1,-4.095539856E1,-2.030080032E1
1.064204185E0,1.346879959E1,-4.079679871E1,-2.048379898E1
1.074204185E0,1.351760006E1,-4.060160065E1,-2.070339966E1
1.084204185E0,1.356639957E1,-4.052840042E1,-2.093519974E1
1.094204185E0,1.363959980E1,-4.040639877E1,-2.108160019E1
1.104204185E0,1.371280003E1,-4.032099915E1,-2.120359993E1
1.114204185E0,1.379819965E1,-4.027219772E1,-2.130119896E1
1.124204185E0,1.389579964E1,-4.027219772E1,-2.138660049E1
1.134204185E0,1.398119926E1,-4.028440094E1,-2.144759941E1
1.144204185E0,1.400559998E1,-3.986959839E1,-2.202099991E1
1.154204185E0,1.400559998E1,-3.989400101E1,-2.210639954E1
1.164204185E0,1.404220009E1,-3.989400101E1,-2.213080025E1
1.174204185E0,1.404220009E1,-3.985739899E1,-2.222839928E1
