"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.583143170E-1,5.237720410E1,4.877871200E0,2.638963049E0,0.000000000E0,0.000000000E0,2.355699921E1,1.000000000E0
3.673136144E0,5.237718926E1,4.877939350E0,2.331926432E1,0.000000000E0,0.000000000E0,3.183072853E1,3.170278549E1
4.672936560E0,5.237718936E1,4.877939950E0,2.289403288E1,0.000000000E0,0.000000000E0,2.474880219E1,2.177101707E1
5.675640206E0,5.237718934E1,4.877940390E0,2.297466055E1,0.000000000E0,0.000000000E0,1.577479935E1,1.414631557E1
6.673695518E0,5.237718825E1,4.877941050E0,2.295695920E1,0.000000000E0,0.000000000E0,1.123212528E1,1.023489571E1
7.674152497E0,5.237718835E1,4.877940550E0,2.264445905E1,0.000000000E0,0.000000000E0,9.984217644E0,9.291656494E0
8.676236403E0,5.237718738E1,4.877939970E0,2.269041682E1,0.000000000E0,0.000000000E0,9.609139442E0,8.787977219E0
9.674791090E0,5.237718829E1,4.877941460E0,2.236351467E1,0.000000000E0,0.000000000E0,9.672129631E0,8.751959801E0
1.042581639E1,5.237717960E1,4.878062300E0,2.639039545E0,0.000000000E0,0.000000000E0,2.128599930E1,1.886991739E0
1.483546088E1,5.237714473E1,4.878044930E0,2.320012229E1,0.000000000E0,0.000000000E0,2.078841400E1,1.822527885E1
1.583406952E1,5.237716349E1,4.878070010E0,2.119692843E1,0.000000000E0,0.000000000E0,1.499154186E1,1.447631168E1
1.683602869E1,5.237715845E1,4.878079790E0,2.073556226E1,0.000000000E0,0.000000000E0,1.319867039E1,1.274795532E1
1.783473718E1,5.237714934E1,4.878088870E0,2.185335255E1,0.000000000E0,0.000000000E0,1.370761776E1,1.263444519E1
1.883827817E1,5.237716192E1,4.878078280E0,1.990438952E1,0.000000000E0,0.000000000E0,1.470980072E1,1.251379108E1
1.983509874E1,5.237715506E1,4.878080960E0,2.140194000E1,0.000000000E0,0.000000000E0,1.590218258E1,1.246361160E1
2.083594051E1,5.237715482E1,4.878088630E0,2.093166824E1,0.000000000E0,0.000000000E0,1.708305359E1,1.207578945E1
2.183733541E1,5.237715492E1,4.878090580E0,2.073104695E1,0.000000000E0,0.000000000E0,1.883269310E1,1.209601021E1
2.283603812E1,5.237715567E1,4.878089850E0,2.063058372E1,0.000000000E0,0.000000000E0,2.004639435E1,1.165902138E1
2.383489536E1,5.237715483E1,4.878091470E0,2.068252439E1,0.000000000E0,0.000000000E0,2.555848122E1,1.349271107E1
2.483547765E1,5.237715538E1,4.878086840E0,2.090902394E1,0.000000000E0,0.000000000E0,3.249752426E1,1.553608894E1
2.583667801E1,5.237715475E1,4.878083480E0,2.129055187E1,0.000000000E0,0.000000000E0,3.570848083E1,1.569794655E1
