"Time (s)","Illuminance (lx)"
0.000000000E0,5.643674927E2
5.439771700E-2,5.643674927E2
1.210519350E-1,5.618025513E2
1.877168830E-1,5.413500366E2
2.543831330E-1,5.285925293E2
3.210479250E-1,5.153625488E2
3.877141750E-1,4.818825073E2
4.543841750E-1,4.629150085E2
5.210473520E-1,4.439475098E2
5.877127690E-1,4.217400208E2
6.543784460E-1,3.867750244E2
7.210442270E-1,3.848850098E2
7.877117790E-1,3.827250061E2
8.543811540E-1,3.801600037E2
9.210424560E-1,3.827250061E2
9.877071440E-1,3.834000244E2
1.054373758E0,3.834000244E2
1.121047040E0,3.889350281E2
1.187707665E0,3.908250122E2
1.254372352E0,3.946725159E2
1.321039175E0,4.059450073E2
1.387704644E0,4.253850098E2
1.454370217E0,4.548150330E2
1.521043446E0,5.136750488E2
1.587703446E0,5.317650146E2
1.654370738E0,5.501250000E2
1.721038342E0,5.720625000E2
1.787701675E0,6.168150024E2
1.854367977E0,6.168150024E2
1.921033810E0,6.168150024E2
1.987698915E0,6.077025146E2
2.054364904E0,5.848875122E2
2.121034383E0,5.512050171E2
2.187699488E0,5.053050232E2
2.254366363E0,4.436775208E2
2.321030477E0,4.311225281E2
2.387695633E0,4.296375122E2
2.454362717E0,4.264650269E2
2.521027508E0,4.164075317E2
2.587692873E0,4.068225098E2
2.654358394E0,4.036500244E2
2.721024435E0,4.004100037E2
2.787697821E0,3.944700012E2
2.854357300E0,3.944700012E2
2.921024227E0,3.944700012E2
2.987688550E0,4.002075195E2
3.054357821E0,4.014900208E2
3.121022821E0,4.016925049E2
3.187687300E0,4.232250061E2
3.254352717E0,4.266675110E2
3.321018758E0,4.305150146E2
3.387685217E0,4.449600220E2
3.454352092E0,4.712175293E2
3.521018863E0,5.030100098E2
3.587682560E0,5.336550293E2
3.654353446E0,5.961600342E2
3.721015581E0,5.961600342E2
3.787681883E0,5.961600342E2
3.854348238E0,5.829299927E2
3.921013758E0,5.545800171E2
3.987679644E0,5.215050049E2
4.054348342E0,4.959225159E2
4.121013550E0,4.601475220E2
4.187687717E0,4.390200195E2
4.254339383E0,4.236975098E2
4.321010633E0,4.119525146E2
4.387674904E0,4.102650146E2
4.454343394E0,4.099950256E2
4.521012300E0,4.091850281E2
4.587675060E0,4.031775208E2
4.654340842E0,4.031775208E2
4.721006258E0,3.996000061E2
4.787671675E0,3.895425110E2
4.854340738E0,3.842100220E2
4.921003238E0,3.842100220E2
4.987675633E0,3.842100220E2
5.054335008E0,3.844125061E2
5.121003758E0,3.978450012E2
5.187667508E0,4.140450134E2
5.254335894E0,4.859325256E2
5.321004592E0,5.383800049E2
5.387665217E0,5.731425171E2
5.454331675E0,5.731425171E2
5.520998967E0,5.731425171E2
5.587663810E0,5.678099976E2
5.654329019E0,5.537025146E2
5.720996675E0,5.078700256E2
5.787661675E0,4.865400085E2
5.854331310E0,4.675725098E2
5.920995217E0,4.475250244E2
5.987659644E0,4.415850220E2
6.054325633E0,4.390200195E2
6.120995738E0,4.360500183E2
6.187658238E0,4.274775085E2
6.254324488E0,4.200525208E2
6.320989696E0,4.070250244E2
6.387655477E0,3.887325134E2
6.454322925E0,3.829275208E2
6.520988029E0,3.825225220E2
6.587654800E0,3.825225220E2
6.654321050E0,3.825225220E2
6.720984592E0,3.858975220E2
6.787651363E0,3.925125122E2
