"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.838704300E-2,-6.402559662E1,-2.396080017E1,1.036999941E0
9.838704300E-2,-6.392799759E1,-2.396080017E1,1.293200016E0
1.083870430E-1,-6.380599976E1,-2.391199875E1,1.561599970E0
1.183870430E-1,-6.369619751E1,-2.381439972E1,1.476199985E0
1.283870430E-1,-6.356200027E1,-2.380220032E1,1.512799978E0
1.383870430E-1,-6.357419968E1,-2.375339890E1,1.573799968E0
1.483870430E-1,-6.361079788E1,-2.375339890E1,1.646999955E0
1.583870430E-1,-6.361079788E1,-2.377779961E1,1.756799936E0
1.683870430E-1,-6.357419968E1,-2.369239998E1,2.000799894E0
1.783870430E-1,-6.356200027E1,-2.360700035E1,2.159399986E0
1.883870430E-1,-6.358639908E1,-2.355819893E1,2.293599844E0
1.983870430E-1,-6.361079788E1,-2.353380013E1,2.610800028E0
2.083870430E-1,-6.367179871E1,-2.347279930E1,2.915799856E0
2.183870430E-1,-6.368399811E1,-2.348499870E1,3.159800053E0
2.283870430E-1,-6.362299728E1,-2.343619919E1,3.428200006E0
2.383870430E-1,-6.363520050E1,-2.333860016E1,3.745399952E0
2.483870430E-1,-6.365959930E1,-2.335079956E1,3.952800035E0
2.583870430E-1,-6.362299728E1,-2.335079956E1,4.233399868E0
2.683870430E-1,-6.364739990E1,-2.326539993E1,4.453000069E0
2.783870430E-1,-6.365959930E1,-2.324099922E1,4.684800148E0
2.883870430E-1,-6.365959930E1,-2.320439911E1,4.880000114E0
2.983870430E-1,-6.362299728E1,-2.315559959E1,5.136199951E0
3.083870430E-1,-6.362299728E1,-2.310680008E1,5.392399788E0
3.183870430E-1,-6.362299728E1,-2.304579926E1,5.563199997E0
3.283870430E-1,-6.353759766E1,-2.297259903E1,5.831599712E0
3.383870430E-1,-6.352539825E1,-2.291160011E1,6.075599670E0
3.483870430E-1,-6.345219803E1,-2.292379951E1,6.441599846E0
3.583870430E-1,-6.340340042E1,-2.282620049E1,6.697799683E0
3.683870430E-1,-6.336679840E1,-2.278960037E1,7.014999866E0
3.783870430E-1,-6.335459900E1,-2.275300026E1,7.332200050E0
3.883870430E-1,-6.329359818E1,-2.272859955E1,7.588399887E0
3.983870430E-1,-6.324480057E1,-2.274079895E1,7.942199707E0
4.083870430E-1,-6.323259735E1,-2.271640015E1,8.210599899E0
4.183870430E-1,-6.319599915E1,-2.272859955E1,8.576600075E0
4.283870430E-1,-6.314719772E1,-2.269199944E1,8.796199799E0
4.383870430E-1,-6.312279892E1,-2.236260033E1,8.588799477E0
4.483870430E-1,-6.312279892E1,-2.230159950E1,8.808400154E0
4.583870430E-1,-6.306179810E1,-2.216740036E1,8.967000008E0
4.683870430E-1,-6.304959869E1,-2.210639954E1,9.333000183E0
4.783870430E-1,-6.295199966E1,-2.204539871E1,9.479399681E0
4.883870430E-1,-6.297639847E1,-2.193560028E1,9.735599518E0
4.983870430E-1,-6.296419907E1,-2.186240005E1,9.918600082E0
5.083870430E-1,-6.290319824E1,-2.178919983E1,1.010159969E1
5.183870430E-1,-6.289099884E1,-2.204539871E1,1.083360004E1
5.283870430E-1,-6.284219742E1,-2.202099991E1,1.105319977E1
5.383870430E-1,-6.281779861E1,-2.199659920E1,1.130939960E1
5.483870430E-1,-6.281779861E1,-2.194779968E1,1.143139935E1
5.583870430E-1,-6.282999802E1,-2.187459946E1,1.163879967E1
5.683870430E-1,-6.273239899E1,-2.177700043E1,1.182180023E1
5.783870430E-1,-6.272019958E1,-2.170380020E1,1.202919960E1
5.883870430E-1,-6.272019958E1,-2.161839867E1,1.222439957E1
5.983870430E-1,-6.267139816E1,-2.163059998E1,1.238299942E1
6.083870430E-1,-6.264699936E1,-2.155739975E1,1.259039974E1
6.183870430E-1,-6.264699936E1,-2.148419952E1,1.278559971E1
6.283870430E-1,-6.258599854E1,-2.138660049E1,1.294419956E1
6.383870430E-1,-6.257379913E1,-2.133779907E1,1.311499977E1
6.483870430E-1,-6.251279831E1,-2.131340027E1,1.324919987E1
6.583870430E-1,-6.241519928E1,-2.130119896E1,1.338339996E1
6.683870430E-1,-6.239080048E1,-2.127680016E1,1.352979946E1
6.783870430E-1,-6.231760025E1,-2.120359993E1,1.362739944E1
6.883870430E-1,-6.226879883E1,-2.121579933E1,1.376159954E1
6.983870430E-1,-6.218339920E1,-2.122799873E1,1.389579964E1
7.083870430E-1,-6.214679718E1,-2.126459885E1,1.402999973E1
7.183870430E-1,-6.209799957E1,-2.122799873E1,1.417640018E1
7.283870430E-1,-6.214679718E1,-2.127680016E1,1.428619957E1
7.383870430E-1,-6.213459778E1,-2.124020004E1,1.434719944E1
7.483870430E-1,-6.201259995E1,-2.122799873E1,1.439599991E1
