"Time (s)","Illuminance (lx)"
2.444344000E-3,4.521352539E3
6.908194800E-2,4.569075195E3
1.357488750E-1,4.569075195E3
2.024360110E-1,4.569075195E3
2.690580420E-1,4.391685059E3
3.357217400E-1,4.187834961E3
4.024025730E-1,3.611520264E3
4.690584060E-1,3.611520264E3
5.357435110E-1,3.611520264E3
6.023902810E-1,3.879292725E3
6.690596560E-1,4.589325195E3
7.357181980E-1,5.234354980E3
8.024075730E-1,5.730885254E3
8.690774170E-1,6.521985352E3
9.357161150E-1,6.521985352E3
1.002384656E0,6.521985352E3
1.069063198E0,5.277420410E3
1.135742417E0,4.163130371E3
1.202416948E0,4.163130371E3
1.269050125E0,4.163130371E3
1.335709708E0,4.652032715E3
1.402389136E0,4.677209961E3
1.469072365E0,4.874445312E3
1.535738406E0,5.904022949E3
1.602378198E0,6.421140137E3
1.669047000E0,6.421140137E3
1.735707365E0,6.421140137E3
1.802405542E0,5.127705078E3
1.869064448E0,4.871002930E3
1.935749917E0,4.871002930E3
2.002374656E0,4.871002930E3
2.069044240E0,5.092740234E3
2.135722156E0,5.122845215E3
2.202369083E0,5.285317871E3
2.269055073E0,6.125827637E3
2.335700177E0,6.125827637E3
2.402372000E0,6.125827637E3
2.469043042E0,6.020460449E3
2.535722156E0,5.515357910E3
2.602390542E0,5.492745117E3
2.669035906E0,5.443470215E3
2.735696948E0,5.259465332E3
2.802371531E0,5.117512695E3
2.869052677E0,5.090647461E3
2.935716323E0,5.072692871E3
3.002363302E0,4.500832520E3
3.069031636E0,4.500832520E3
3.135701167E0,4.500832520E3
3.202386531E0,5.257777832E3
3.269056427E0,5.257777832E3
3.335698511E0,5.272492676E3
3.402358823E0,5.350320312E3
3.469035281E0,5.461830078E3
3.535696115E0,5.617890137E3
3.602391323E0,6.145200195E3
3.669062573E0,6.264810059E3
3.735686531E0,6.264810059E3
3.802354969E0,6.264810059E3
3.869017417E0,6.264810059E3
3.935707208E0,6.368895020E3
4.002384656E0,6.451785156E3
4.069019292E0,7.960342773E3
4.135683406E0,7.960342773E3
4.202355906E0,7.960342773E3
4.269017886E0,7.931317871E3
4.335703198E0,7.931317871E3
4.402352886E0,7.873537598E3
4.469020542E0,7.873537598E3
4.535679656E0,7.873537598E3
4.602385386E0,7.795710449E3
4.669040386E0,7.795710449E3
4.735675490E0,7.795710449E3
4.802349292E0,8.133075195E3
4.869012261E0,8.358187500E3
4.935695698E0,8.431155273E3
5.002366740E0,8.447153320E3
5.069042052E0,8.495078125E3
5.135677417E0,8.431155273E3
5.202353302E0,8.431155273E3
5.269032208E0,7.986127930E3
5.335691740E0,7.986127930E3
5.402374344E0,7.986127930E3
5.469003406E0,8.168445312E3
5.535668406E0,8.294062500E3
5.602348615E0,8.524507812E3
5.669028927E0,8.595517578E3
5.735687052E0,8.677192383E3
5.802347000E0,8.677192383E3
5.869003250E0,8.677192383E3
5.935665073E0,8.283127930E3
6.002333198E0,8.046877930E3
6.069023615E0,7.860105469E3
6.135664083E0,7.717478027E3
6.202333927E0,6.418575195E3
6.268997208E0,5.673577637E3
6.335668406E0,5.567197754E3
6.402363667E0,5.549242676E3
6.469011375E0,5.206207520E3
6.535659865E0,4.550107910E3
6.602329240E0,3.660997559E3
6.668992469E0,3.358867676E3
6.735682677E0,3.358867676E3
6.802372365E0,3.358867676E3
6.868992365E0,3.838185059E3
6.935652990E0,4.340317871E3
7.002331740E0,4.706842773E3
7.068995490E0,4.949235352E3
7.135672781E0,5.534122559E3
7.202344708E0,5.944320312E3
7.268991323E0,6.526642578E3
7.335650987E0,6.526642578E3
7.402319320E0,6.526642578E3
7.469013747E0,6.142230469E3
7.535647654E0,5.601892578E3
7.602319112E0,5.601892578E3
7.668987862E0,5.601892578E3
7.735668383E0,5.738782715E3
7.802346404E0,6.500655273E3
7.868984164E0,6.551145020E3
7.935644633E0,6.663532715E3
8.002318383E0,6.672510254E3
8.069008279E0,6.672510254E3
8.135666091E0,6.672510254E3
8.202355050E0,6.672510254E3
8.268981247E0,6.672510254E3
8.335640414E0,7.037280273E3
8.402313331E0,7.445182617E3
8.468980883E0,8.176545410E3
8.535656300E0,8.281845703E3
8.602310258E0,8.281845703E3
8.668974425E0,8.281845703E3
8.735636404E0,7.769317871E3
8.802319008E0,7.769317871E3
8.868996195E0,7.769317871E3
8.935634320E0,8.192948242E3
9.002303747E0,8.325584961E3
9.068973279E0,8.411715820E3
9.135631716E0,8.546715820E3
9.202335466E0,8.546715820E3
9.268966612E0,8.546715820E3
9.335630987E0,8.285288086E3
9.402301508E0,6.922192871E3
9.468964737E0,6.301462891E3
9.535647758E0,6.301462891E3
9.602339789E0,6.301462891E3
9.668967654E0,6.339667969E3
9.735625154E0,7.100865234E3
9.802304685E0,7.149465332E3
9.868983695E0,7.149465332E3
9.935657237E0,7.100865234E3
1.000229547E1,6.817500488E3
1.006896208E1,5.476747559E3
1.013562474E1,4.294012695E3
1.020233005E1,4.294012695E3
1.026897750E1,4.294012695E3
1.033562276E1,4.847782715E3
1.040230036E1,5.464395020E3
1.046895453E1,6.087622559E3
1.053563651E1,6.087622559E3
1.060232026E1,6.087622559E3
1.066895286E1,5.860147949E3
1.073561661E1,4.358407715E3
1.080228635E1,3.460320068E3
1.086897099E1,3.343072754E3
1.093563901E1,3.343072754E3
1.100232328E1,3.343072754E3
1.106896416E1,4.597222656E3
1.113561000E1,5.513872559E3
1.120228130E1,6.638827637E3
1.126896870E1,7.788892578E3
1.133562734E1,7.788892578E3
1.140228244E1,7.788892578E3
1.146895213E1,6.524077637E3
1.153561349E1,5.354370117E3
1.160230328E1,5.354370117E3
1.166896333E1,5.354370117E3
1.173560896E1,6.189345215E3
1.180228182E1,6.598530273E3
1.186894994E1,6.838560059E3
1.193560474E1,7.128540527E3
1.200227432E1,7.128540527E3
1.206894088E1,7.128540527E3
1.213561005E1,5.808712891E3
1.220227182E1,4.793175293E3
1.226896599E1,4.755442871E3
1.233562015E1,4.755442871E3
1.240228890E1,4.793175293E3
1.246894625E1,5.789137695E3
1.253559880E1,6.143917969E3
1.260226500E1,6.475477539E3
1.266896354E1,6.475477539E3
1.273562203E1,6.475477539E3
1.280226625E1,4.969755371E3
1.286893583E1,4.018545166E3
1.293559666E1,3.673552734E3
1.300226333E1,3.673552734E3
1.306895250E1,3.673552734E3
1.313559922E1,5.619847656E3
1.320226291E1,6.222825195E3
1.326892963E1,6.391440430E3
1.333560890E1,6.391440430E3
1.340229260E1,6.391440430E3
1.346892479E1,5.046502930E3
1.353558833E1,4.104270020E3
1.360225166E1,3.360960205E3
1.366892849E1,3.360960205E3
1.373558776E1,3.360960205E3
1.380226005E1,3.518370117E3
1.386892120E1,3.724717529E3
1.393558286E1,3.873555176E3
1.400225318E1,4.051417725E3
1.406892161E1,4.051417725E3
1.413561276E1,4.051417725E3
1.420225130E1,3.545235107E3
1.426892026E1,3.462480225E3
1.433558916E1,3.462480225E3
1.440224953E1,3.462480225E3
1.446893099E1,3.612397705E3
1.453557599E1,3.904672607E3
1.460225286E1,4.137952637E3
1.466891974E1,4.232385254E3
1.473557578E1,4.232385254E3
1.480227057E1,4.232385254E3
1.486891255E1,4.232385254E3
1.493558166E1,4.232385254E3
1.500224744E1,4.844137695E3
1.506892015E1,5.132834961E3
1.513559271E1,5.221732910E3
1.520224203E1,5.328382812E3
1.526891494E1,5.844555176E3
1.533557015E1,5.844555176E3
1.540223771E1,5.844555176E3
1.546892578E1,5.227065430E3
1.553559724E1,5.227065430E3
1.560223932E1,5.227065430E3
1.566890562E1,5.623695312E3
1.573556328E1,5.623695312E3
1.580225651E1,6.006420410E3
1.586892401E1,6.014047852E3
1.593556328E1,6.296130371E3
1.600223078E1,6.735622559E3
1.606889646E1,6.735622559E3
1.613558458E1,6.735622559E3
1.620222974E1,5.972062500E3
1.626889744E1,5.948640137E3
1.633555786E1,5.948640137E3
1.640222651E1,5.948640137E3
1.646889291E1,6.224512695E3
1.653557411E1,6.570990234E3
1.660222479E1,6.907680176E3
1.666888812E1,7.032217773E3
1.673555380E1,7.032217773E3
1.680222870E1,7.032217773E3
1.686891000E1,5.855220215E3
1.693558640E1,5.855220215E3
1.700221974E1,5.855220215E3
1.706888432E1,6.273585449E3
1.713554922E1,6.363292969E3
1.720223208E1,6.478650391E3
1.726888442E1,6.698700195E3
1.733554890E1,7.524967773E3
1.740221703E1,7.524967773E3
1.746888541E1,7.524967773E3
1.753557015E1,6.969712891E3
1.760224703E1,6.323670410E3
1.766888370E1,5.973547852E3
1.773554474E1,5.973547852E3
1.780222568E1,5.973547852E3
1.786888120E1,6.403387695E3
1.793556015E1,7.027087891E3
1.800221307E1,8.129228027E3
1.806887953E1,8.129228027E3
1.813553963E1,8.129228027E3
1.820221307E1,7.503840332E3
1.826887557E1,7.111732910E3
1.833556911E1,6.702345215E3
1.840220937E1,6.458872559E3
1.846887963E1,6.458872559E3
1.853553724E1,6.458872559E3
1.860222338E1,7.188885254E3
1.866887312E1,8.218530273E3
1.873553536E1,8.493794922E3
1.880220484E1,8.493794922E3
1.886888213E1,8.493794922E3
1.893555651E1,7.668472656E3
1.900224146E1,7.037550293E3
1.906887375E1,6.768900391E3
1.913553005E1,6.768900391E3
1.920219557E1,6.768900391E3
1.926886578E1,7.633912598E3
1.933552651E1,8.141580566E3
1.940219745E1,9.299812500E3
1.946886729E1,9.299812500E3
1.953552609E1,9.299812500E3
1.960223583E1,7.996590332E3
1.966886390E1,7.442415527E3
1.973555979E1,6.776527832E3
1.980219526E1,6.776527832E3
1.986886099E1,6.776527832E3
1.993554213E1,7.946505371E3
2.000221703E1,8.927280273E3
2.006885396E1,9.585743164E3
2.013551995E1,9.585743164E3
2.020218890E1,9.585743164E3
2.026885724E1,8.937945312E3
2.033551942E1,7.534755371E3
2.040224099E1,6.770385254E3
2.046885349E1,6.770385254E3
2.053551541E1,6.770385254E3
2.060218161E1,7.573162598E3
2.066888359E1,8.355892578E3
2.073553088E1,8.978243164E3
2.080218765E1,9.330458008E3
2.086885161E1,9.330458008E3
2.093551109E1,9.330458008E3
2.100218859E1,8.028990234E3
2.106884578E1,7.215750488E3
2.113554583E1,7.215750488E3
2.120218474E1,7.215750488E3
2.126885224E1,7.875292969E3
2.133550937E1,8.479552734E3
2.140221396E1,8.747528320E3
2.146884276E1,8.747528320E3
2.153550583E1,8.747528320E3
2.160217620E1,8.652015625E3
2.166885104E1,8.040060547E3
2.173550411E1,6.056707520E3
2.180220890E1,6.056707520E3
2.186884349E1,6.056707520E3
2.193550099E1,6.956685059E3
2.200217140E1,7.807860352E3
2.206884953E1,8.214480469E3
2.213551875E1,8.214480469E3
2.220217396E1,8.214480469E3
2.226883693E1,7.891897949E3
2.233550432E1,7.321522949E3
2.240216640E1,6.018772949E3
2.246883265E1,6.018772949E3
2.253553057E1,6.018772949E3
2.260217875E1,6.969307617E3
2.266882943E1,7.452000488E3
2.273551870E1,8.004690430E3
2.280216203E1,8.615363281E3
2.286882922E1,8.615363281E3
2.293549250E1,8.615363281E3
2.300217422E1,7.997467773E3
2.306883776E1,6.883177734E3
2.313549328E1,6.814732910E3
2.320216297E1,6.814732910E3
2.326882453E1,6.814732910E3
2.333549724E1,8.017717773E3
2.340215786E1,8.576145508E3
2.346882307E1,8.576145508E3
2.353548568E1,8.576145508E3
2.360215328E1,8.312557617E3
2.366882359E1,7.624530273E3
2.373548234E1,7.101472656E3
2.380215276E1,5.892345215E3
2.386881828E1,5.892345215E3
2.393552937E1,5.892345215E3
2.400216286E1,7.867395508E3
2.406881193E1,8.776147461E3
2.413547984E1,9.536062500E3
2.420218036E1,9.536062500E3
2.426881437E1,9.536062500E3
2.433547953E1,9.025560547E3
2.440215932E1,8.260110352E3
2.446881541E1,6.505515137E3
2.453549724E1,6.314085449E3
2.460217682E1,6.314085449E3
2.466881463E1,6.314085449E3
2.473547443E1,7.690815430E3
2.480214562E1,8.560958008E3
2.486881494E1,8.560958008E3
2.493548745E1,8.560958008E3
2.500214271E1,7.991055176E3
2.506881203E1,7.066305176E3
2.513547192E1,6.421140137E3
2.520214297E1,6.131565430E3
2.526880818E1,6.131565430E3
2.533549828E1,6.131565430E3
2.540214203E1,7.757572754E3
2.546880505E1,8.243910156E3
2.553546286E1,8.465850586E3
2.560213958E1,8.465850586E3
2.566880318E1,8.465850586E3
2.573546297E1,7.633035156E3
2.580213713E1,6.912607910E3
2.586879838E1,5.896395020E3
2.593547994E1,5.896395020E3
2.600215547E1,5.896395020E3
2.606879620E1,6.657322754E3
2.613546578E1,8.015152832E3
2.620212786E1,8.688667969E3
2.626879974E1,8.688667969E3
2.633547479E1,8.688667969E3
2.640212890E1,7.963110352E3
2.646879390E1,7.068262695E3
2.653546161E1,6.173955078E3
2.660212791E1,6.173955078E3
2.666879693E1,6.173955078E3
2.673549057E1,6.474397949E3
2.680212562E1,8.002327637E3
2.686878911E1,8.253495117E3
2.693546224E1,8.253495117E3
2.700215140E1,8.253495117E3
2.706878786E1,7.396177734E3
2.713544849E1,6.607440430E3
2.720211953E1,5.902132812E3
2.726878765E1,5.772060059E3
2.733546724E1,5.772060059E3
2.740214937E1,5.772060059E3
2.746879453E1,6.910245117E3
2.753544495E1,7.563510254E3
2.760211021E1,7.884202637E3
2.766879562E1,7.884202637E3
2.773546500E1,7.884202637E3
2.780211166E1,6.427080078E3
2.786878578E1,5.261827637E3
2.793544640E1,5.261827637E3
2.800214484E1,5.261827637E3
2.806877979E1,5.368207520E3
2.813547755E1,6.619185059E3
2.820211224E1,6.751417969E3
2.826878599E1,7.017907715E3
2.833544036E1,7.017907715E3
2.840212026E1,6.751417969E3
2.846879041E1,6.700455078E3
2.853543500E1,5.751607910E3
2.860210765E1,5.566117676E3
2.866879620E1,5.566117676E3
2.873543713E1,5.566117676E3
2.880212265E1,6.133927734E3
2.886877172E1,6.133927734E3
2.893543234E1,6.133927734E3
2.900210109E1,6.126840332E3
2.906878338E1,6.025185059E3
2.913542625E1,5.508945312E3
2.920209745E1,4.988452637E3
2.926877068E1,4.988452637E3
2.933542703E1,4.988452637E3
2.940209609E1,5.028142578E3
2.946879036E1,5.281267578E3
2.953542682E1,5.307052734E3
2.960209526E1,5.505772949E3
2.966876411E1,5.505772949E3
2.973542244E1,5.505772949E3
