"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.580246180E-1,5.238627640E1,4.871743700E0,3.048173299E0,0.000000000E0,0.000000000E0,2.668600082E1,1.277619958E0
3.038890468E0,5.238639190E1,4.871591120E0,8.718027746E1,2.859999895E0,2.895000000E2,2.040246391E1,4.403660202E1
4.039233228E0,5.238636013E1,4.871561170E0,6.498441450E1,2.420000076E0,2.703999939E2,1.235396671E1,2.508575630E1
5.039655050E0,5.238635761E1,4.871498810E0,5.276739463E1,2.250000000E0,2.628999939E2,9.980639458E0,1.801502800E1
6.039142654E0,5.238635898E1,4.871368630E0,3.405711561E1,1.419999957E0,2.638999939E2,8.945896149E0,1.519891071E1
7.040503435E0,5.238636928E1,4.871277710E0,2.374024362E1,1.889999986E0,2.641000061E2,7.165013790E0,1.106188107E1
8.041687080E0,5.238637907E1,4.871203590E0,2.175663266E1,2.519999981E0,2.703999939E2,5.685957432E0,8.639656067E0
9.040723382E0,5.238638032E1,4.871161620E0,2.480134873E1,2.890000105E0,2.712999878E2,4.755026817E0,7.159055710E0
1.003887364E1,5.238637915E1,4.871118330E0,2.204601179E1,2.839999914E0,2.685000000E2,4.470816612E0,6.764122486E0
1.103914895E1,5.238638446E1,4.871080320E0,2.125669048E1,2.220000029E0,2.817000122E2,4.009284019E0,5.611788750E0
1.203947833E1,5.238638645E1,4.871038150E0,2.061836304E1,3.150000095E0,2.706000061E2,4.053250790E0,5.563088417E0
1.303902119E1,5.238638624E1,4.870992100E0,2.055894869E1,2.710000038E0,2.717999878E2,4.016984940E0,5.454872608E0
1.403951000E1,5.238638699E1,4.870947480E0,1.733626749E1,2.779999971E0,2.711000061E2,3.887899876E0,5.076668739E0
1.503938463E1,5.238639006E1,4.870900690E0,1.555890080E1,3.059999943E0,2.733999939E2,3.801989317E0,4.826524258E0
1.604165828E1,5.238639258E1,4.870855110E0,1.282523520E1,2.299999952E0,2.740000000E2,4.033292770E0,5.043476582E0
1.703815864E1,5.238639844E1,4.870804940E0,1.160426694E1,3.759999990E0,2.803999939E2,4.423580170E0,5.361569881E0
1.803857692E1,5.238640468E1,4.870754190E0,1.263189507E1,2.900000095E0,2.781000061E2,4.689547539E0,5.619313717E0
1.903869197E1,5.238640877E1,4.870707810E0,1.149808474E1,3.240000010E0,2.765000000E2,4.720056534E0,5.578428268E0
2.003953577E1,5.238641061E1,4.870663980E0,1.115193141E1,2.619999886E0,2.686000061E2,4.525701046E0,5.232683182E0
2.103896489E1,5.238640864E1,4.870623620E0,1.161003500E1,2.940000057E0,2.648999939E2,4.363630772E0,4.870440006E0
2.203997999E1,5.238640636E1,4.870585630E0,1.186245105E1,2.630000114E0,2.658999939E2,4.228932858E0,4.539475441E0
2.304272338E1,5.238640334E1,4.870555530E0,1.272033941E1,2.079999924E0,2.637000122E2,4.028316021E0,4.335632324E0
2.403871780E1,5.238640189E1,4.870521540E0,1.174467059E1,2.910000086E0,2.687000122E2,4.026118755E0,4.315277576E0
2.504646848E1,5.238640068E1,4.870478030E0,1.175025876E1,3.240000010E0,2.676000061E2,4.007220745E0,4.251060486E0
2.603935832E1,5.238640098E1,4.870439500E0,1.118322013E1,2.259999990E0,2.697000122E2,3.962273121E0,4.197240829E0
2.703851041E1,5.238640035E1,4.870403660E0,1.178726329E1,2.769999981E0,2.652999878E2,4.024178505E0,4.344254494E0
2.803944176E1,5.238639922E1,4.870365640E0,1.202326249E1,2.309999943E0,2.647000122E2,4.155445576E0,4.571209431E0
2.903928780E1,5.238639702E1,4.870325750E0,1.248923957E1,3.119999886E0,2.641000061E2,4.384531975E0,4.617618561E0
3.004011624E1,5.238639582E1,4.870287080E0,1.301924464E1,2.549999952E0,2.703999939E2,4.066727161E0,4.454680443E0
3.103890176E1,5.238639723E1,4.870247850E0,1.269720227E1,2.910000086E0,2.707999878E2,4.107740879E0,4.497091293E0
3.203835634E1,5.238639778E1,4.870210040E0,1.285440757E1,2.480000019E0,2.706000061E2,4.046853542E0,4.334008694E0
3.303876686E1,5.238639795E1,4.870176430E0,1.421419047E1,2.109999895E0,2.695000000E2,3.968154669E0,4.386578083E0
3.403985619E1,5.238639691E1,4.870137410E0,1.537041626E1,3.069999933E0,2.650000000E2,3.946632147E0,4.407896996E0
3.504010467E1,5.238639511E1,4.870092230E0,1.485750898E1,2.799999952E0,2.637999878E2,3.965111971E0,4.359549046E0
3.603951988E1,5.238639324E1,4.870046270E0,1.486114167E1,3.190000057E0,2.638999939E2,3.948159218E0,4.287761688E0
3.703999884E1,5.238639157E1,4.870007600E0,1.594967879E1,2.240000010E0,2.648999939E2,3.816552401E0,4.117451668E0
3.803928874E1,5.238638994E1,4.869966830E0,1.656037051E1,2.880000114E0,2.646000061E2,3.861531019E0,4.272952557E0
3.903916462E1,5.238638782E1,4.869923470E0,1.669571823E1,2.750000000E0,2.640000000E2,4.227331161E0,5.000373840E0
4.004043946E1,5.238638540E1,4.869885000E0,1.687403713E1,2.339999914E0,2.633999939E2,4.295545101E0,5.117348194E0
4.103860207E1,5.238638443E1,4.869852090E0,1.737993700E1,1.960000038E0,2.697000122E2,4.206708431E0,5.057100296E0
4.204043863E1,5.238638586E1,4.869819820E0,1.752481766E1,2.220000029E0,2.698999939E2,4.358402252E0,5.020906925E0
4.303880561E1,5.238638846E1,4.869780250E0,1.754646574E1,2.779999971E0,2.742999878E2,4.327898026E0,4.995894432E0
4.403942087E1,5.238639081E1,4.869739080E0,1.719823949E1,2.799999952E0,2.726000061E2,4.292244434E0,4.933323860E0
4.503867332E1,5.238639244E1,4.869700980E0,1.734665707E1,2.410000086E0,2.727000122E2,4.134985924E0,4.763495445E0
4.603899634E1,5.238639252E1,4.869658730E0,1.737733325E1,2.910000086E0,2.682000122E2,4.062090397E0,4.747890949E0
4.703896134E1,5.238639134E1,4.869616100E0,1.699101524E1,2.509999990E0,2.672999878E2,4.134176254E0,4.869346619E0
4.803835587E1,5.238638973E1,4.869571380E0,1.694344052E1,3.160000086E0,2.652000122E2,4.187209129E0,5.009719372E0
4.903972639E1,5.238638851E1,4.869527580E0,1.658080341E1,2.539999962E0,2.672999878E2,4.235830784E0,5.032576561E0
5.003954446E1,5.238638817E1,4.869487950E0,1.662710552E1,2.589999914E0,2.668999939E2,4.301211834E0,5.080014229E0
5.103928420E1,5.238638688E1,4.869446600E0,1.669897902E1,2.710000038E0,2.647999878E2,4.312791348E0,5.084082127E0
5.203965123E1,5.238638418E1,4.869407680E0,1.718625722E1,2.670000076E0,2.630000000E2,4.359260559E0,4.969251633E0
5.304077654E1,5.238638255E1,4.869364360E0,1.566614911E1,2.970000029E0,2.653999939E2,4.604279518E0,4.984176636E0
5.404054493E1,5.238637999E1,4.869325860E0,1.478746096E1,2.369999886E0,2.526000061E2,4.185288429E0,4.607940674E0
5.504021623E1,5.238637410E1,4.869284140E0,1.425861976E1,2.779999971E0,2.546000061E2,3.942245007E0,4.315432549E0
5.603949180E1,5.238636827E1,4.869246170E0,1.370750300E1,2.079999924E0,2.493000031E2,4.017272472E0,4.389971256E0
5.703923607E1,5.238636259E1,4.869211380E0,1.348866370E1,2.470000029E0,2.536999969E2,4.329936028E0,4.655272484E0
5.803919326E1,5.238635923E1,4.869179140E0,1.459062993E1,1.820000052E0,2.611000061E2,4.183451176E0,4.616047382E0
5.903915998E1,5.238635942E1,4.869142290E0,1.403354085E1,2.640000105E0,2.645000000E2,4.110672951E0,4.490129471E0
6.004053446E1,5.238636250E1,4.869104030E0,1.371675042E1,2.309999943E0,2.742999878E2,4.044958115E0,4.442687511E0
6.103855774E1,5.238636795E1,4.869061400E0,1.318481186E1,3.029999971E0,2.798999939E2,4.039295673E0,4.437508106E0
6.204336888E1,5.238637573E1,4.869015200E0,1.217387059E1,2.950000048E0,2.826000061E2,4.114708900E0,4.330897808E0
6.303897071E1,5.238638192E1,4.868975150E0,1.252639502E1,2.440000057E0,2.788999939E2,4.027044296E0,4.174700737E0
6.403911128E1,5.238638370E1,4.868934850E0,1.192597120E1,2.670000076E0,2.737000122E2,1.025966454E1,4.115215778E0
6.503913607E1,5.238638333E1,4.868899820E0,1.235875056E1,1.769999981E0,2.671000061E2,1.019103146E1,3.941510677E0
6.603970409E1,5.238637925E1,4.868864570E0,1.325880972E1,2.700000048E0,2.598999939E2,1.015449047E1,3.848039150E0
6.704045893E1,5.238637427E1,4.868827120E0,1.378038733E1,2.380000114E0,2.597000122E2,1.016037464E1,3.842055082E0
6.803873904E1,5.238637094E1,4.868790650E0,1.405825446E1,2.369999886E0,2.613999939E2,1.033060074E1,3.823899031E0
6.904023544E1,5.238636962E1,4.868753560E0,1.407910501E1,2.319999933E0,2.677000122E2,1.058331871E1,3.999065399E0
7.003984529E1,5.238636896E1,4.868716730E0,1.519822324E1,2.359999895E0,2.635000000E2,1.070195580E1,4.075504303E0
7.103840815E1,5.238636731E1,4.868681180E0,1.479188916E1,2.160000086E0,2.610000000E2,1.043950272E1,4.070116997E0
7.203908737E1,5.238636522E1,4.868632540E0,1.453197018E1,3.490000010E0,2.617999878E2,1.051283741E1,4.117418766E0
7.304005362E1,5.238636473E1,4.868589850E0,1.491231570E1,1.889999986E0,2.643999939E2,1.052069473E1,3.981527805E0
7.403941851E1,5.238636563E1,4.868556620E0,1.518250024E1,2.180000067E0,2.661000061E2,1.050869846E1,3.829522848E0
7.503969424E1,5.238636633E1,4.868516600E0,1.531046862E1,2.529999971E0,2.647000122E2,1.048591805E1,3.793422222E0
7.604053273E1,5.238636805E1,4.868476520E0,1.608205413E1,2.329999924E0,2.717999878E2,1.025590324E1,3.571243763E0
7.704063721E1,5.238637061E1,4.868437260E0,1.622485711E1,2.390000105E0,2.707999878E2,9.980631828E0,3.431130886E0
7.803934153E1,5.238637450E1,4.868395390E0,1.634422295E1,2.809999943E0,2.735000000E2,9.935046196E0,3.405673504E0
7.904173841E1,5.238637678E1,4.868352920E0,1.698726781E1,2.700000048E0,2.707999878E2,9.947721481E0,3.494038582E0
8.003914377E1,5.238637819E1,4.868311890E0,1.655621561E1,2.410000086E0,2.701000061E2,9.935046196E0,3.403183937E0
8.103848716E1,5.238637700E1,4.868264930E0,1.658633793E1,3.549999952E0,2.666000061E2,9.935046196E0,3.421781063E0
8.204086486E1,5.238637602E1,4.868225500E0,1.734968027E1,2.009999990E0,2.695000000E2,1.031438923E1,3.582116842E0
8.303774012E1,5.238637634E1,4.868193110E0,1.754912474E1,2.349999905E0,2.705000000E2,1.054327583E1,3.986611605E0
8.403849028E1,5.238637630E1,4.868165020E0,1.749106388E1,1.600000024E0,2.652999878E2,1.038733768E1,4.167665958E0
8.504110299E1,5.238637415E1,4.868142840E0,1.754292781E1,1.679999948E0,2.633999939E2,1.089227009E1,4.454916000E0
8.603986278E1,5.238637233E1,4.868111420E0,1.778381270E1,2.289999962E0,2.603999939E2,1.107906246E1,4.633186340E0
8.703957142E1,5.238637117E1,4.868078910E0,1.816568909E1,1.799999952E0,2.643999939E2,1.106879807E1,4.865706444E0
8.804109939E1,5.238636913E1,4.868043200E0,1.741737439E1,2.289999962E0,2.645000000E2,1.081782436E1,4.698165417E0
8.903973523E1,5.238636789E1,4.867998980E0,1.661748115E1,2.369999886E0,2.656000061E2,1.073115826E1,4.668731689E0
9.004020700E1,5.238636813E1,4.867957300E0,1.610439567E1,2.329999924E0,2.665000000E2,1.063288403E1,4.545012474E0
9.103894387E1,5.238637043E1,4.867911330E0,1.612152300E1,2.900000095E0,2.731000061E2,1.065073776E1,4.546520233E0
9.203852955E1,5.238637216E1,4.867865720E0,1.553287580E1,2.480000019E0,2.712000122E2,1.067580986E1,4.589756012E0
9.303887392E1,5.238637235E1,4.867815510E0,1.542353284E1,2.849999905E0,2.702000122E2,1.050497246E1,4.300260544E0
9.403914830E1,5.238637287E1,4.867770580E0,1.565995758E1,1.950000048E0,2.687999878E2,1.054367065E1,4.185231686E0
9.503957840E1,5.238637129E1,4.867725930E0,1.591884047E1,2.769999981E0,2.667000122E2,1.066730690E1,4.178758144E0
9.603945793E1,5.238636931E1,4.867682500E0,1.604686413E1,2.160000086E0,2.681000061E2,1.067478848E1,3.912427902E0
9.703996804E1,5.238636697E1,4.867642340E0,1.615938626E1,2.410000086E0,2.651000061E2,1.056291008E1,3.760316133E0
9.803847621E1,5.238636610E1,4.867600120E0,1.563635017E1,2.579999924E0,2.692000122E2,1.047655964E1,3.673511505E0
9.903988564E1,5.238636544E1,4.867555330E0,1.586203115E1,2.809999943E0,2.660000000E2,1.033194351E1,3.480743647E0
1.000388730E2,5.238636454E1,4.867510530E0,1.513843199E1,2.269999981E0,2.672000122E2,9.935046196E0,3.094628334E0
1.010401621E2,5.238636336E1,4.867470300E0,1.520151724E1,2.339999914E0,2.643999939E2,9.935046196E0,3.218407631E0
1.020407186E2,5.238636178E1,4.867425810E0,1.506892073E1,2.940000057E0,2.672999878E2,9.935046196E0,3.137682199E0
