"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.371111500E-2,2.491239929E1,-3.636819839E1,-5.855999947E0
8.371111500E-2,2.476599884E1,-3.622179794E1,-5.953599930E0
9.371111500E-2,2.477820015E1,-3.617300034E1,-6.234200001E0
1.037111150E-1,2.475379944E1,-3.619739914E1,-6.392799854E0
1.137111150E-1,2.471719933E1,-3.608760071E1,-6.575799942E0
1.237111150E-1,2.468059921E1,-3.608760071E1,-6.710000038E0
1.337111150E-1,2.465620041E1,-3.605099869E1,-6.783199787E0
1.437111150E-1,2.466839981E1,-3.598999786E1,-6.929599762E0
1.537111150E-1,2.470499992E1,-3.588019943E1,-7.197999954E0
1.637111150E-1,2.471719933E1,-3.551419830E1,-7.820199966E0
1.737111150E-1,2.474160004E1,-3.542879868E1,-7.978799820E0
1.837111150E-1,2.476599884E1,-3.533119965E1,-8.137399673E0
1.937111150E-1,2.485140038E1,-3.528239822E1,-8.332599640E0
2.037111150E-1,2.490019989E1,-3.516040039E1,-8.503399849E0
2.137111150E-1,2.503439903E1,-3.505059814E1,-8.783999443E0
2.237111150E-1,2.504660034E1,-3.498960114E1,-9.015799522E0
2.337111150E-1,2.503439903E1,-3.487979889E1,-9.186599731E0
2.437111150E-1,2.504660034E1,-3.509939957E1,-9.027999878E0
2.537111150E-1,2.499779892E1,-3.502619934E1,-9.271999359E0
2.637111150E-1,2.501000023E1,-3.487979889E1,-9.515999794E0
2.737111150E-1,2.498559952E1,-3.477000046E1,-9.808799744E0
2.837111150E-1,2.501000023E1,-3.469680023E1,-1.007719994E1
2.937111150E-1,2.494899940E1,-3.458699799E1,-1.028460026E1
3.037111150E-1,2.498559952E1,-3.448939896E1,-1.049199963E1
3.137111150E-1,2.499779892E1,-3.437960052E1,-1.074819946E1
3.237111150E-1,2.507099915E1,-3.426979828E1,-1.101659966E1
3.337111150E-1,2.514419937E1,-3.418439865E1,-1.128499985E1
3.437111150E-1,2.520520020E1,-3.406240082E1,-1.156559944E1
3.537111150E-1,2.527840042E1,-3.395259857E1,-1.169979954E1
3.637111150E-1,2.533939934E1,-3.380619812E1,-1.190719986E1
3.737111150E-1,2.544919968E1,-3.369639969E1,-1.215119934E1
3.837111150E-1,2.546139908E1,-3.357439804E1,-1.232199955E1
3.937111150E-1,2.546139908E1,-3.352560043E1,-1.256599998E1
4.037111150E-1,2.542479897E1,-3.345240021E1,-1.279780006E1
4.137111150E-1,2.533939934E1,-3.336700058E1,-1.306619930E1
4.237111150E-1,2.521739960E1,-3.335480118E1,-1.329799938E1
4.337111150E-1,2.502219963E1,-3.337919998E1,-1.365180016E1
4.437111150E-1,2.481480026E1,-3.337919998E1,-1.395679951E1
4.537111150E-1,2.450979996E1,-3.340359879E1,-1.428619957E1
4.637111150E-1,2.420479965E1,-3.339139938E1,-1.471319962E1
4.737111150E-1,2.410719872E1,-3.337919998E1,-1.512799931E1
4.837111150E-1,2.385099983E1,-3.337919998E1,-1.556719971E1
4.937111150E-1,2.359479904E1,-3.339139938E1,-1.598199940E1
5.037111150E-1,2.331419945E1,-3.336700058E1,-1.636019897E1
5.137111150E-1,2.305799866E1,-3.326939774E1,-1.673839951E1
5.237111150E-1,2.281399918E1,-3.324499893E1,-1.707999992E1
5.337111150E-1,2.269199944E1,-3.323279953E1,-1.726300049E1
5.437111150E-1,2.255780029E1,-3.331819916E1,-1.737279892E1
5.537111150E-1,2.241139984E1,-3.336700058E1,-1.734840012E1
5.637111150E-1,2.239920044E1,-3.331819916E1,-1.723859978E1
5.737111150E-1,2.250899887E1,-3.328160095E1,-1.714099884E1
5.837111150E-1,2.296039963E1,-3.320840073E1,-1.701899910E1
5.937111150E-1,2.322879982E1,-3.307419968E1,-1.687260056E1
6.037111150E-1,2.357040024E1,-3.295219803E1,-1.678719902E1
6.137111150E-1,2.387539864E1,-3.272039795E1,-1.677499962E1
6.237111150E-1,2.422920036E1,-3.241539764E1,-1.675059891E1
6.337111150E-1,2.452199936E1,-3.203720093E1,-1.677499962E1
6.437111150E-1,2.492459869E1,-3.169559860E1,-1.681159973E1
6.537111150E-1,2.542479897E1,-3.132959938E1,-1.675059891E1
6.637111150E-1,2.559560013E1,-3.096360016E1,-1.664080048E1
6.737111150E-1,2.605920029E1,-3.070739937E1,-1.643339920E1
6.837111150E-1,2.655939865E1,-3.035359955E1,-1.610400009E1
6.937111150E-1,2.707180023E1,-3.007299995E1,-1.575019932E1
7.037111150E-1,2.764519882E1,-2.980459976E1,-1.532319927E1
7.137111150E-1,2.818199921E1,-2.958499908E1,-1.489620018E1
7.237111150E-1,2.860899925E1,-2.946299934E1,-1.439599991E1
7.337111150E-1,2.892619896E1,-2.942639923E1,-1.378599930E1
7.437111150E-1,2.926779938E1,-2.938979912E1,-1.329799938E1
7.537111150E-1,2.957279968E1,-2.943859863E1,-1.273680019E1
7.637111150E-1,2.974359894E1,-2.958499908E1,-1.219999981E1
7.737111150E-1,2.985339928E1,-2.974359894E1,-1.167539978E1
7.837111150E-1,2.988999939E1,-2.980459976E1,-1.133379936E1
7.937111150E-1,2.984119987E1,-3.010960007E1,-1.079699993E1
8.037111150E-1,2.979240036E1,-3.037800026E1,-1.038220024E1
8.137111150E-1,2.967039871E1,-3.058539963E1,-1.015040016E1
8.237111150E-1,2.952400017E1,-3.084159851E1,-9.955200195E0
8.337111150E-1,2.925559998E1,-3.102459908E1,-9.821000099E0
8.437111150E-1,2.903599930E1,-3.119540024E1,-9.881999969E0
8.537111150E-1,2.875539970E1,-3.132959938E1,-9.918600082E0
8.637111150E-1,2.852359962E1,-3.159799957E1,-9.942999840E0
8.737111150E-1,2.825519943E1,-3.173219872E1,-1.021140003E1
8.837111150E-1,2.798679924E1,-3.187859917E1,-1.051639938E1
8.937111150E-1,2.770619965E1,-3.202499771E1,-1.072379971E1
9.037111150E-1,2.748659897E1,-3.217139816E1,-1.088239956E1
9.137111150E-1,2.724259949E1,-3.230559921E1,-1.112639999E1
9.237111150E-1,2.703520012E1,-3.240319824E1,-1.124839973E1
9.337111150E-1,2.688879967E1,-3.254959869E1,-1.140699959E1
9.437111150E-1,2.670579910E1,-3.258620071E1,-1.150459957E1
9.537111150E-1,2.664480019E1,-3.268379974E1,-1.159000015E1
9.637111150E-1,2.646179962E1,-3.265940094E1,-1.168760014E1
9.737111150E-1,2.631539917E1,-3.265940094E1,-1.185839939E1
9.837111150E-1,2.607139969E1,-3.268379974E1,-1.212679958E1
9.937111150E-1,2.601039886E1,-3.276919937E1,-1.239519978E1
1.003711115E0,2.577859879E1,-3.283020020E1,-1.262699986E1
1.013711115E0,2.537599945E1,-3.290340042E1,-1.302960014E1
1.023711115E0,2.496119881E1,-3.303759766E1,-1.348099995E1
1.033711115E0,2.444879913E1,-3.307419968E1,-1.400559998E1
1.043711115E0,2.387539864E1,-3.323279953E1,-1.450579929E1
1.053711115E0,2.320439911E1,-3.336700058E1,-1.523779964E1
1.063711115E0,2.249679947E1,-3.347679901E1,-1.581120014E1
1.073711115E0,2.159399986E1,-3.348899841E1,-1.644560051E1
1.083711115E0,2.076440048E1,-3.354999924E1,-1.731180000E1
1.093711115E0,2.011779976E1,-3.354999924E1,-1.801939964E1
1.103711115E0,1.938579941E1,-3.358660126E1,-1.871479988E1
1.113711115E0,1.866600037E1,-3.354999924E1,-1.939799881E1
1.123711115E0,1.800720024E1,-3.348899841E1,-2.010560036E1
1.133711115E0,1.747039986E1,-3.345240021E1,-2.078879929E1
1.143711115E0,1.689699936E1,-3.339139938E1,-2.154520035E1
1.153711115E0,1.636019897E1,-3.320840073E1,-2.236260033E1
1.163711115E0,1.583559990E1,-3.297660065E1,-2.302140045E1
1.173711115E0,1.527439976E1,-3.275699997E1,-2.374119949E1
1.183711115E0,1.481079960E1,-3.242760086E1,-2.448539925E1
1.193711115E0,1.444479942E1,-3.176879883E1,-2.575419998E1
