"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.246052050E-1,5.237729940E1,4.877728200E0,1.839011205E0,0.000000000E0,0.000000000E0,2.000000000E1,2.165856838E0
2.019360520E1,5.237726380E1,4.878366900E0,3.439334391E0,0.000000000E0,0.000000000E0,1.224000015E2,3.056510162E1
4.022760520E1,5.237722270E1,4.877680600E0,1.838875477E0,0.000000000E0,0.000000000E0,4.890000153E1,3.949083805E0
6.018460521E1,5.237859680E1,4.876925700E0,0.000000000E0,0.000000000E0,0.000000000E0,6.000000000E2,0.000000000E0
8.057360520E1,5.237729940E1,4.877726900E0,1.839010449E0,0.000000000E0,0.000000000E0,2.010000038E1,2.217978477E0
1.002436052E2,5.237724760E1,4.877712400E0,1.738930562E0,0.000000000E0,0.000000000E0,1.626300049E1,1.985009909E0
1.202526052E2,5.237729380E1,4.877718300E0,1.838997562E0,0.000000000E0,0.000000000E0,1.412199974E1,1.314051270E0
1.402696052E2,5.237729590E1,4.877720800E0,1.839001974E0,0.000000000E0,0.000000000E0,1.468799973E1,1.472292900E0
1.602666052E2,5.237722340E1,4.877679200E0,1.838875650E0,0.000000000E0,0.000000000E0,5.240000153E1,4.251781464E0
1.803116052E2,5.237722010E1,4.877692200E0,1.838878552E0,0.000000000E0,0.000000000E0,1.769499969E1,2.364151478E0
2.002906052E2,5.237729280E1,4.877713800E0,1.838993539E0,0.000000000E0,0.000000000E0,1.745700073E1,1.757336497E0
2.207236052E2,5.237729870E1,4.877719400E0,1.839005106E0,0.000000000E0,0.000000000E0,2.010000038E1,2.060804844E0
2.403256052E2,5.237723400E1,4.877688500E0,1.838895988E0,0.000000000E0,0.000000000E0,5.240000153E1,5.059763432E0
2.602936052E2,5.237859680E1,4.876925700E0,0.000000000E0,0.000000000E0,0.000000000E0,6.000000000E2,0.000000000E0
2.808326052E2,5.237731610E1,4.877748500E0,1.639049581E0,0.000000000E0,0.000000000E0,8.250000000E1,7.123376846E0
3.003586052E2,5.237729330E1,4.877715300E0,1.838995115E0,0.000000000E0,0.000000000E0,1.562699986E1,1.582345486E0
3.203946052E2,5.237726380E1,4.877694400E0,1.738942932E0,0.000000000E0,0.000000000E0,6.000000000E1,3.356168032E0
3.403826052E2,5.237730270E1,4.878041600E0,1.839197931E0,0.000000000E0,0.000000000E0,2.862999916E1,1.816482663E0
