"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.525943000E-2,-9.845399857E0,-2.996319962E1,-7.434680176E1
1.052594300E-1,-9.674599648E0,-3.025599861E1,-7.429799652E1
1.152594300E-1,-9.662400246E0,-3.019499969E1,-7.424919891E1
1.252594300E-1,-9.686800003E0,-2.995100021E1,-7.461519623E1
1.352594300E-1,-9.674599648E0,-3.003639984E1,-7.460299683E1
1.452594300E-1,-9.698999405E0,-3.003639984E1,-7.457859802E1
1.552594300E-1,-9.711199760E0,-3.003639984E1,-7.457859802E1
1.652594300E-1,-9.747799873E0,-3.003639984E1,-7.457859802E1
1.752594300E-1,-9.747799873E0,-3.006079865E1,-7.461519623E1
1.852594300E-1,-9.808799744E0,-3.004859924E1,-7.463959503E1
1.952594300E-1,-9.784399986E0,-3.006079865E1,-7.471279907E1
2.052594300E-1,-9.772199631E0,-3.017059898E1,-7.460299683E1
2.152594300E-1,-9.760000229E0,-3.014620018E1,-7.455419922E1
2.252594300E-1,-9.747799873E0,-3.014620018E1,-7.452980042E1
2.352594300E-1,-9.686800003E0,-3.014620018E1,-7.457859802E1
2.452594300E-1,-9.613599777E0,-3.018280029E1,-7.459079742E1
2.552594300E-1,-9.576999664E0,-3.018280029E1,-7.456639862E1
2.652594300E-1,-9.491600037E0,-3.017059898E1,-7.455419922E1
2.752594300E-1,-9.515999794E0,-3.020719910E1,-7.448099518E1
2.852594300E-1,-9.564800262E0,-3.017059898E1,-7.440779877E1
2.952594300E-1,-9.601399422E0,-3.019499969E1,-7.441999817E1
3.052594300E-1,-9.625800133E0,-3.019499969E1,-7.441999817E1
3.152594300E-1,-9.698999405E0,-3.017059898E1,-7.434680176E1
3.252594300E-1,-9.821000099E0,-3.013399887E1,-7.428579712E1
3.352594300E-1,-9.808799744E0,-3.015839958E1,-7.428579712E1
3.452594300E-1,-9.869799614E0,-3.015839958E1,-7.423699951E1
3.552594300E-1,-9.881999969E0,-3.013399887E1,-7.421260071E1
3.652594300E-1,-9.869799614E0,-3.019499969E1,-7.416379547E1
3.752594300E-1,-9.918600082E0,-3.015839958E1,-7.413939667E1
3.852594300E-1,-9.881999969E0,-3.015839958E1,-7.412719727E1
3.952594300E-1,-9.881999969E0,-3.019499969E1,-7.415159607E1
4.052594300E-1,-9.808799744E0,-3.021939850E1,-7.410279846E1
4.152594300E-1,-9.894199371E0,-3.019499969E1,-7.404180145E1
4.252594300E-1,-9.906399727E0,-3.015839958E1,-7.407839966E1
4.352594300E-1,-9.662400246E0,-3.017059898E1,-7.412719727E1
4.452594300E-1,-9.650199890E0,-3.018280029E1,-7.417599487E1
4.552594300E-1,-9.564800262E0,-3.020719910E1,-7.423699951E1
4.652594300E-1,-9.589200020E0,-3.025599861E1,-7.428579712E1
4.752594300E-1,-9.589200020E0,-3.023159981E1,-7.421260071E1
4.852594300E-1,-9.564800262E0,-3.019499969E1,-7.426139832E1
4.952594300E-1,-9.552599907E0,-3.019499969E1,-7.429799652E1
5.052594300E-1,-9.564800262E0,-3.021939850E1,-7.431019592E1
5.152594300E-1,-9.772199631E0,-3.019499969E1,-7.428579712E1
5.252594300E-1,-9.808799744E0,-3.013399887E1,-7.431019592E1
