"Time (s)","Illuminance (lx)"
7.567265600E-2,1.363095093E3
1.423269790E-1,1.363095093E3
2.089939060E-1,1.363567505E3
2.756594270E-1,1.364580078E3
3.423220310E-1,1.364580078E3
4.089910940E-1,1.364850098E3
4.756571350E-1,1.365052612E3
5.423202600E-1,1.365457520E3
6.089892710E-1,1.365457520E3
6.756554690E-1,1.365862549E3
7.423173440E-1,1.365457520E3
8.089888020E-1,1.365862549E3
8.756542190E-1,1.365457520E3
9.423178120E-1,1.365862549E3
1.008980937E0,1.365660034E3
1.075651719E0,1.365660034E3
1.142313802E0,1.365660034E3
1.208983385E0,1.365660034E3
1.275649635E0,1.365660034E3
1.342312135E0,1.365862549E3
1.408981094E0,1.366335083E3
1.475646719E0,1.366335083E3
1.542308906E0,1.366335083E3
1.608986146E0,1.365862549E3
1.675647448E0,1.366335083E3
1.742308802E0,1.365862549E3
1.808978177E0,1.366065063E3
1.875647448E0,1.365862549E3
1.942304948E0,1.365660034E3
2.008979844E0,1.365660034E3
2.075640781E0,1.365660034E3
2.142304896E0,1.365660034E3
2.208975156E0,1.365862549E3
2.275641615E0,1.366740112E3
2.342303594E0,1.366942505E3
2.408976094E0,1.367617554E3
2.475636094E0,1.368225098E3
2.542299219E0,1.368630005E3
2.608970052E0,1.368630005E3
2.675637760E0,1.369305054E3
2.742299219E0,1.369507568E3
2.808969740E0,1.369507568E3
2.875636510E0,1.370182495E3
2.942295885E0,1.370385010E3
3.008969635E0,1.370385010E3
3.075635156E0,1.370385010E3
3.142296927E0,1.370385010E3
3.208968177E0,1.370790039E3
3.275628802E0,1.370385010E3
3.342294531E0,1.370385010E3
3.408963802E0,1.370790039E3
3.475631927E0,1.370790039E3
3.542289844E0,1.371397583E3
3.608961302E0,1.371397583E3
3.675627344E0,1.371397583E3
3.742288281E0,1.371397583E3
3.808959115E0,1.370587524E3
3.875624844E0,1.370182495E3
3.942284844E0,1.370587524E3
4.008956406E0,1.370182495E3
4.075621094E0,1.370182495E3
4.142289323E0,1.369710083E3
4.208953802E0,1.369710083E3
4.275621094E0,1.369710083E3
4.342281406E0,1.370182495E3
4.408958385E0,1.370182495E3
4.475620885E0,1.370182495E3
4.542279427E0,1.370182495E3
4.608949844E0,1.370182495E3
4.675619531E0,1.370182495E3
4.742280365E0,1.370182495E3
4.808949219E0,1.370385010E3
4.875614271E0,1.370182495E3
4.942275156E0,1.370182495E3
5.008946406E0,1.369912598E3
5.075611927E0,1.370182495E3
5.142270573E0,1.369507568E3
5.208943490E0,1.369507568E3
5.275611146E0,1.369507568E3
5.342272344E0,1.369710083E3
5.408942135E0,1.369710083E3
5.475612656E0,1.369710083E3
5.542271198E0,1.370182495E3
5.608943802E0,1.370182495E3
5.675605469E0,1.370182495E3
5.742267135E0,1.370182495E3
5.808940781E0,1.370182495E3
5.875609219E0,1.370182495E3
5.942267656E0,1.370182495E3
6.008935677E0,1.369507568E3
6.075603177E0,1.370182495E3
6.142264010E0,1.370182495E3
6.208936979E0,1.370587524E3
6.275602240E0,1.370182495E3
6.342262760E0,1.370587524E3
6.408932344E0,1.370587524E3
6.475599531E0,1.370587524E3
6.542260469E0,1.370587524E3
6.608928594E0,1.370587524E3
6.675595885E0,1.370587524E3
6.742257344E0,1.370587524E3
6.808927344E0,1.370790039E3
6.875594323E0,1.370790039E3
6.942255990E0,1.370790039E3
7.008925573E0,1.370790039E3
7.075593385E0,1.370587524E3
7.142253594E0,1.370385010E3
7.208928906E0,1.370385010E3
7.275593958E0,1.370385010E3
7.342250990E0,1.369912598E3
7.408923229E0,1.369710083E3
7.475588073E0,1.369710083E3
7.542251927E0,1.369710083E3
7.608923490E0,1.369305054E3
