"Time (s)","Illuminance (lx)"
0.000000000E0,1.388880005E3
4.348293000E-2,1.435185059E3
1.101457430E-1,1.475077515E3
1.768074090E-1,1.550137573E3
2.434743880E-1,1.550137573E3
3.101733470E-1,1.562287598E3
3.768033470E-1,1.575450073E3
4.434752740E-1,1.575450073E3
5.101388680E-1,1.541362549E3
5.768229300E-1,1.305315063E3
6.434998050E-1,1.233292603E3
7.101577220E-1,1.125832520E3
7.768031380E-1,1.045845093E3
8.434700130E-1,1.001700012E3
9.101481900E-1,9.637650146E2
9.768113150E-1,9.347400513E2
1.043471055E0,9.012600098E2
1.110133555E0,9.012600098E2
1.176796055E0,9.012600098E2
1.243472722E0,9.483750610E2
1.310154805E0,9.639675293E2
1.376791888E0,9.739575195E2
1.443466107E0,9.771975098E2
1.510128763E0,9.771975098E2
1.576793243E0,9.795600586E2
1.643491055E0,9.871875610E2
1.710170013E0,1.022355042E3
1.776792930E0,1.022355042E3
1.843460013E0,1.023435059E3
1.910123607E0,1.023907532E3
1.976811524E0,1.025392578E3
2.043493451E0,1.030522583E3
2.110124180E0,1.039635010E3
2.176794180E0,1.044765015E3
2.243455690E0,1.044765015E3
2.310156107E0,1.051582520E3
2.376810118E0,1.063327515E3
2.443458347E0,1.148175049E3
2.510124597E0,1.272307495E3
2.576781472E0,1.272307495E3
2.643450534E0,1.272307495E3
2.710149440E0,1.189755005E3
2.776776993E0,1.098494995E3
2.843449388E0,1.098494995E3
2.910119076E0,1.098494995E3
2.976779388E0,1.142640015E3
3.043479857E0,1.147567505E3
3.110121784E0,1.160527588E3
3.176773451E0,1.168020020E3
3.243456680E0,1.211085083E3
3.310125430E0,1.215810059E3
3.376799180E0,1.232617554E3
3.443475847E0,1.241122559E3
3.510114597E0,1.241122559E3
3.576781993E0,1.338592529E3
3.643445222E0,1.338592529E3
3.710121472E0,1.338592529E3
3.776766263E0,1.333935059E3
3.843458034E0,1.333935059E3
3.910106055E0,1.333935059E3
3.976766263E0,1.344330078E3
4.043436576E0,1.352227539E3
4.110113451E0,1.424115112E3
4.176764440E0,1.536705078E3
4.243438972E0,1.628167603E3
4.310101055E0,1.829655029E3
4.376768972E0,1.881900024E3
4.443471680E0,1.882912598E3
