"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.619141610E-1,5.238487570E1,4.883060600E0,3.952795130E0,0.000000000E0,0.000000000E0,1.676199913E1,1.000000000E0
4.221441769E0,5.238493783E1,4.883141410E0,-4.596241061E1,1.460000038E0,2.760000038E1,2.519800186E1,6.227667236E1
5.220249738E0,5.238496003E1,4.883068620E0,-5.816753035E1,1.379999995E0,1.879999924E1,1.906392097E1,2.881019974E1
6.220776039E0,5.238501828E1,4.883075660E0,-3.990807521E1,1.539999962E0,8.999999762E-1,1.383254623E1,1.839311981E1
7.219439268E0,5.238504090E1,4.883096510E0,-2.886484879E1,1.350000024E0,6.400000095E0,1.220056534E1,1.447914505E1
8.222279580E0,5.238502172E1,4.883098480E0,-3.056964764E1,9.599999785E-1,2.500000000E0,1.155466366E1,1.305520725E1
9.222566403E0,5.238497793E1,4.883186250E0,-1.825514410E1,4.399999976E-1,3.180000000E2,1.228829575E1,1.354555225E1
1.022255625E1,5.238506390E1,4.883164260E0,-2.142678861E1,2.109999895E0,1.180000019E1,1.025501537E1,1.268943310E1
1.122002000E1,5.238507038E1,4.883218160E0,-1.506072024E1,1.559999943E0,8.600000381E0,9.060029984E0,1.155292320E1
1.222064848E1,5.238507496E1,4.883223310E0,-1.211710726E1,1.759999990E0,3.148999939E2,1.116021824E1,1.433749390E1
1.322081583E1,5.238507810E1,4.883247850E0,-3.759849772E0,1.490000010E0,3.540000000E2,1.096325207E1,1.494308376E1
1.422070687E1,5.238508676E1,4.883273260E0,-1.386531741E0,1.519999981E0,3.581000061E2,1.023916435E1,1.495126820E1
1.522467640E1,5.238509688E1,4.883289200E0,-6.907504278E0,1.080000043E0,2.320000076E1,8.747482300E0,1.325949574E1
1.622115619E1,5.238511589E1,4.883312650E0,-6.200615664E0,2.059999943E0,2.639999962E1,8.333965302E0,1.265406799E1
1.722102458E1,5.238513198E1,4.883336500E0,1.110053927E-1,9.100000262E-1,2.320000076E1,6.783923626E0,1.013392353E1
1.822743015E1,5.238514313E1,4.883356090E0,2.339548154E0,1.100000024E0,1.829999924E1,6.262124538E0,8.832715988E0
1.922228687E1,5.238515436E1,4.883372270E0,3.467869315E0,9.300000072E-1,1.369999981E1,5.820284367E0,8.337430954E0
2.022035874E1,5.238516935E1,4.883389500E0,4.101933695E0,1.419999957E0,1.950000000E1,5.629609108E0,7.831954956E0
2.121886817E1,5.238518491E1,4.883409620E0,2.954262281E0,1.500000000E0,2.470000076E1,6.121011734E0,7.758282661E0
2.222143963E1,5.238519812E1,4.883425210E0,3.368840774E0,1.190000057E0,1.650000000E1,5.536347866E0,7.572902679E0
2.322207358E1,5.238520780E1,4.883437040E0,4.961939930E0,6.499999762E-1,1.089999962E1,5.620887280E0,7.431640148E0
2.422153499E1,5.238521917E1,4.883456100E0,6.750358181E0,1.620000005E0,2.389999962E1,5.348642349E0,7.197634220E0
2.522115400E1,5.238522959E1,4.883475520E0,7.901568272E0,9.399999976E-1,3.940000153E1,6.040939331E0,7.179861546E0
2.622087853E1,5.238523625E1,4.883492500E0,6.784644197E0,7.599999905E-1,5.109999847E1,7.729783535E0,7.348981380E0
2.722186916E1,5.238524479E1,4.883503430E0,8.722101573E0,9.499999881E-1,3.550000000E1,8.557422638E0,7.115733147E0
2.822188645E1,5.238526304E1,4.883501060E0,9.090961378E0,2.269999981E0,3.576000061E2,7.581842422E0,7.042035103E0
2.922243561E1,5.238528250E1,4.883490130E0,8.757730500E0,1.730000019E0,3.433999939E2,8.663284302E0,7.257462978E0
3.022126728E1,5.238529239E1,4.883492170E0,8.507684601E0,1.509999990E0,3.583999939E2,7.714363575E0,7.437305450E0
3.122148811E1,5.238529777E1,4.883498670E0,8.953191580E0,1.019999981E0,2.570000076E1,8.039778709E0,7.463621616E0
3.222567327E1,5.238530271E1,4.883510030E0,1.013685995E1,1.230000019E0,4.620000076E1,8.923645973E0,7.558423996E0
3.322053514E1,5.238531094E1,4.883521000E0,1.122818654E1,1.360000014E0,2.529999924E1,1.026402855E1,7.768226624E0
