"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.207766000E-2,-1.395679951E1,-3.795420074E1,-2.320439911E1
9.207766000E-2,-1.384700012E1,-3.638039780E1,-2.505879974E1
1.020776600E-1,-1.377379990E1,-3.662440109E1,-2.460739899E1
1.120776600E-1,-1.377379990E1,-3.679520035E1,-2.443659973E1
1.220776600E-1,-1.371280003E1,-3.686840057E1,-2.435120010E1
1.320776600E-1,-1.366399956E1,-3.690499878E1,-2.437559891E1
1.420776600E-1,-1.354199982E1,-3.692939758E1,-2.447319984E1
1.520776600E-1,-1.344439983E1,-3.695380020E1,-2.455859947E1
1.620776600E-1,-1.333459949E1,-3.680739975E1,-2.479039955E1
1.720776600E-1,-1.318820000E1,-3.705139923E1,-2.459519958E1
1.820776600E-1,-1.307839966E1,-3.699039841E1,-2.472939873E1
1.920776600E-1,-1.285879993E1,-3.692939758E1,-2.486359978E1
2.020776600E-1,-1.265139961E1,-3.689279938E1,-2.496119881E1
2.120776600E-1,-1.244399929E1,-3.684399796E1,-2.504660034E1
2.220776600E-1,-1.229759979E1,-3.680739975E1,-2.504660034E1
2.320776600E-1,-1.213899994E1,-3.674639893E1,-2.498559952E1
2.420776600E-1,-1.189499950E1,-3.681959915E1,-2.496119881E1
2.520776600E-1,-1.176079941E1,-3.684399796E1,-2.488799858E1
2.620776600E-1,-1.160219955E1,-3.692939758E1,-2.483919907E1
2.720776600E-1,-1.151679993E1,-3.696599960E1,-2.480259895E1
2.820776600E-1,-1.151679993E1,-3.711240005E1,-2.470499992E1
2.920776600E-1,-1.146799946E1,-3.723439789E1,-2.452199936E1
3.020776600E-1,-1.144359970E1,-3.735639954E1,-2.431459999E1
3.120776600E-1,-1.145580006E1,-3.755159760E1,-2.410719872E1
3.220776600E-1,-1.155340004E1,-3.768579865E1,-2.393639946E1
3.320776600E-1,-1.160219955E1,-3.785659790E1,-2.361919975E1
3.420776600E-1,-1.166319942E1,-3.807619858E1,-2.335079956E1
3.520776600E-1,-1.177299976E1,-3.833239746E1,-2.302140045E1
3.620776600E-1,-1.185839939E1,-3.847879791E1,-2.266759872E1
3.720776600E-1,-1.194379997E1,-3.868619919E1,-2.230159950E1
3.820776600E-1,-1.209019947E1,-3.889360046E1,-2.191119957E1
3.920776600E-1,-1.222439957E1,-3.913759995E1,-2.145979881E1
4.020776600E-1,-1.217560005E1,-3.939379883E1,-2.091079903E1
