,acc_x,acc_y,acc_z,acc_label,gyr_x,gyr_y,gyr_z,light_lux,lin_acc_x,lin_acc_y,lin_acc_z,loc_Latitude (°),loc_Longitude (°),loc_height,loc_speed,loc_Direction (°),loc_horizontal_accuracy,loc_vertical_accuracy,mang_Magnetic field x (µT),mang_Magnetic field y (µT),mang_Magnetic field z (µT)
2023-06-07 15:08:16.077333,-0.7224038821150438,0.014499209590040247,8.779187643193815,hammocking,-0.017260423662647562,0.005595735530102698,0.012638826260152187,37570.26144460001,-0.011269373602751074,-0.0188005408307577,0.05575876045930861,52.37716785381818,4.878046220727273,21.24070349370909,0.0,0.0,23.220556069036366,12.074623615454545,-12.18732621054743,-20.939090050012425,-40.18726664931366
2023-06-07 15:09:16.077333,-2.0642728323207886,-2.682773004532226,9.314717582749926,hammocking,-0.0024413030353180954,-0.0034087759291368783,9.005029786978828e-07,47700.95525286667,-0.029497909257131652,-0.013012383584868914,0.09080085027614673,52.37719110666666,4.878033288571428,19.747457323928575,0.0,0.0,34.61330363857142,17.961666334285717,-9.811176773621666,-6.280167447349253,-51.17450328385333
2023-06-07 15:10:16.077333,-2.1331222258577647,-2.6671939604443846,9.290395701251759,hammocking,-0.003493175739828427,-0.0037284759693366034,-0.00018573637934886643,40072.75895755556,-0.02996886990652693,-0.007135372994239493,0.09237828656400947,52.37720179349999,4.8780047255,17.477439165249997,0.0,0.0,39.139121915000004,20.290230988599998,-9.590814281960334,-6.0390547813200595,-51.019835775355006
2023-06-07 15:11:16.077333,-2.203153144522132,-2.884024273424663,9.211176797980178,hammocking,-0.004479695940581031,-0.0034154617167865674,0.0003452751120495074,31465.34314992222,-0.030950418913206604,-0.008005949359031303,0.11627091533160674,52.377201234666664,4.878014167666667,17.88323152166667,0.0,0.0,36.88834514633333,20.05204097383334,-9.781894742372499,-3.8346388608189095,-50.66071048864667
2023-06-07 15:12:16.077333,-2.438269629058696,-2.611887027018683,9.225827809724905,hammocking,-0.004908811158326303,-0.003735680735440221,-0.00032184195919195027,27578.60628852222,-0.04691044639867876,-0.02622076247783205,0.11613200231761737,52.377201583666654,4.8780179635,18.0983048155,0.0,0.0,35.79106763183333,19.862677939666664,-9.180522188849666,-4.5142378117913475,-50.88896433003166
2023-06-07 15:13:16.077333,-2.44264654751899,-2.6846884825135082,9.216823012373336,hammocking,0.005505250594626608,-0.01000668374342573,-0.00139785772260887,21993.954101623378,-0.016634326936066986,0.02707663657778493,0.15077220417680615,52.377200941,4.878012442,18.361760988999997,0.0,0.0,26.883078766,13.20122423,-8.736387761482959,-3.4039662335169036,-51.100548373739045
2023-06-07 15:14:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:15:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:16:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:17:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:18:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:19:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:20:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:21:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:22:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:23:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:24:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:25:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:26:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 15:27:16.077333,,,,,,,,,,,,,,,,,,,,,
